customer_id,first_name,last_name,email,phone,date_of_birth,gender,address_line1,address_line2,city,state,postal_code,country,registration_date,is_premium,preferred_language,marketing_consent
1714a6e4-b887-4e06-83db-1e31a6633cd4,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,1959-08-21,Other,402 Peterson Drives Apt. 511,Suite 155,Lindsaymouth,Ohio,16862,Uzbekistan,2024-06-09,FALSE,Spanish,TRUE
0a19457f-f26f-435e-aa85-a662920e58f7,Christian,Carter,barbara10@example.net,441.731.6475,1968-10-23,Other,419 Amanda Gardens,Apt. 764,Lake Mark,Wyoming,07832,Denmark,2025-05-19,FALSE,English,TRUE
1482080e-d1f6-43a7-9cb1-663c9dafcc1e,Antonio,Stewart,carl95@example.org,+1-876-772-4238x8496,1959-07-24,M,710 Eric Estate,Suite 916,Carlsonmouth,North Dakota,33454,Micronesia,2025-06-18,FALSE,English,TRUE
48984666-5dc5-4178-9750-661b83de75fd,Sherri,Frazier,maldonadoamanda@example.com,001-551-446-2704x82814,1970-01-29,Other,809 Burns Creek,,Natashaport,Kansas,08093,Dominican Republic,2025-07-01,FALSE,Spanish,TRUE
c89ad36f-e101-4945-8c33-50c481d33a11,Ashley,Miller,wcabrera@EXAMPLE.net,001-822-778-2489x63834,1974-06-13,F,33150 Brianna Avenue Apt. 031,,Port Markhaven,Kansas,37001,Paraguay,2024-08-31,TRUE,Spanish,TRUE
abe2d319-e2dc-4c3c-b08b-af384f8331bd,Jason,Anderson,esanchez@example.com,311.265.6670,1972-01-13,F,33387 Robert Harbors Suite 317,Apt. 080,Port Melindaburgh,Nebraska,64154,Liberia,2024-02-02,FALSE,French,TRUE
de0c9382-7e48-4b48-bbe0-ea11e8e64266,Michelle,Barrera,nicholasgalloway@example.com,246.787.2343x098,1948-07-10,F,788 Brian Pass,Apt. 219,Lake Michellefurt,Delaware,75169,Egypt,2024-11-11,FALSE,French,FALSE
d8d3c50e-0f15-40a7-9b43-a986a55780fc,Brooke,Harvey,ksandoval@example.net,343-353-4624x75107,1981-03-21,Other,425 Natasha Land,,Ericside,Virginia,40152,New Zealand,2025-05-07,TRUE,German,TRUE
20c9d7c5-d331-49b5-8dd1-0932ade57b16,Destiny,Smith,sarah12@example.COM,518-624-4935,1979-01-11,F,0164 Adam Trail Apt. 427,,Hoffmanville,California,91074,United Kingdom,2023-12-13,FALSE,French,TRUE
30103108-9815-4a60-8def-1ad2196c15d5,Amy,Davenport,russellwilliams@example.com,4535315869,2003-06-21,Other,60256 Joseph Turnpike,Apt. 607,East Lisa,New Jersey,46331,Gambia,2025-05-18,FALSE,French,FALSE
ae712c68-7ecb-49b3-a811-1de02a4c6126,Laura,Perez,kellerraymond@example.COM,645-486-8501,1984-02-22,M,19655 Obrien Pass Apt. 693,,Bradleychester,Alabama,68647,Uzbekistan,2025-05-07,FALSE,German,TRUE
a2883625-8f9a-4dc1-89f8-9a11ae2435fb,Amanda,Ball,michaeljones@example.net,895-814-8465x64823,1990-09-22,F,946 Kevin Fords,Suite 995,Ramosborough,North Carolina,62522,South Africa,2025-07-19,FALSE,French,FALSE
e9d01027-3245-4952-9f65-f1d232f44a15,Susan,Fitzgerald,campbellelizabeth@example.net,813-543-3200x37917,1993-07-08,Other,6320 Kimberly Forges Apt. 870,,Port David,Florida,61402,Papua New Guinea,2024-10-05,FALSE,Spanish,TRUE
